id,image_ID,complaint_text_tr,complaint_type,is_verifiable
1,e1,Ürünü yanık göndermişler ürünün etiketi bile yok yeni değil helal etmiyorum tavsiye hiç etmiyorum,Faulty,Yes
2,e2,Etek sipariş verdim pantolon geldi,Incorrect,Yes
3,e3,"Urun bu sekilde geldi uzerinde lekesi var deneyip nasil durduguna bile bakamadim lekeyi gorunce, iade edecegim.",Faulty,Yes
4,e4,Çocuk kandırır gibi bol olsun diye xxl sipariş ettiğim pijama takımını s beden gönderip üstüne etiketinide kesmişsiniz anlamıyoeum zaten olmıycağı için iade edicem herhangi bir kazançta sağlayamıycaksınız bedeniniz yoksa neden seçeneklerde xxl yazıyorsunuz ki,Ill-fitting,No
5,e5,Bedeninizi almanıza rağmen dar gelecektir. ,Ill-fitting,No
6,e6,şortlu takım sipariş vermiştim uzun paçalı geldi,Incorrect,Yes
7,e7,S beden gondermisler L siparis vermistim dikkat etmiyolar bile,Ill-fitting,Yes
8,e8,Kumaşı güzel ama lekeli geldi,Faulty,Yes
9,e9,başka ürün gönderildi,Incorrect,Yes
10,e10,Bana gelen pijama sanki dikis okulunun bir öğrenci dikmiş. o kadar eğri dikisler ki o kadar yamuk o kadar kalitesiz... kumas içinde pamuk üzde sifir- tamamen poliester ,Faulty,Partially
11,e10,"kargo poşeti açtım ve ağır sigara kokusu geldi, pijamayı actim ve içinde pis kokusu ve sac ... hiç denemeden geri koydum.",Refurbished,No
12,e11,yanlış ürün gönderildi siparişlerinizi kontrolü kargolamıyor musunuz acaba insanların boşu boşuna zamanını alıyorsunuz ayrıca kargo ücreti de tarafınıza yansıyor yazık yani,Incorrect,Yes
13,e12,urun aynı beden gelmedi,Ill-fitting,Yes
14,e13,L istedim S beden gönderilmiş,Ill-fitting,Yes
15,e14,Ürünün kumaşı kalitesiz.,Disappointing,No
16,e15,İstediğim beden değil xl gelmiş şaka mısınz,Ill-fitting,Yes
17,e16,İplerin yerleri çok yanlış yerlere dikilmiş biri yukarıda bir diğeri ise aşağıda bağladığımda iki ip arası havada duruyo bunu bu şekilde kullanamam ayrıca pijaması ise çok yanlış dikilmiş çizgileri eşit değil giydiğimde yamuk duruyor o yüzden iade ettim,Faulty,Yes
18,e17,çok kalitesiz resimdeki rengi bekliyordum ama bembeyaz bi renk geldi.,Discolored,Partially
19,e17,paçaları resimde geniş gözüküyor bana gelen yamuk yumuk dikilmiş. tek yıldız,Faulty,No
20,e18,sipariş verdiğim ürün yerine baöbaşka bir şortlu takım gönderilmiş. işini çok özensiz yapan bir firma . iade ile uğraştırdıkları için çok kızgınım.,Incorrect,Yes
21,e19,yanlış benden gönderilmiş bu ne sorumsuzluk,Ill-fitting,Yes
22,e20,Ürünün defosu var. Tekrar sipariş vereceğim.,Faulty,Partially
23,e21,Ürünü defolu geldi  bana mı denk geliyor anlamadım,Faulty,Yes
24,e22,Yanlış ürün geldi üstelik kapı iadesi yok kargo bana çok uzak çocuklarla çıkma şansım da yok,Incorrect,Yes
25,e23,istediğim ürün gelmedi hayal kırıklığı,Incorrect,Yes
26,e24,Tamamen dikişleri sökülmüş bir ürün gönderilmiş ,Faulty,Yes
27,e25,çok beğenerek almıştım ama defosu var bu biraz üzdü maalesef,Faulty,Partially
28,e26,Ürün defolu geldi,Faulty,Partially
29,e27,bildiğin tül ceket değil,Inferior,Partially
30,e28,Bu renk ne ya pudra pembesi diye aldım çingene pembesi geldi ahahahahha ne renk aynı ne kumaş rezil bir renk rezil bi kalite,Discolored,No
31,e29,ürün alt üst beden yanlış geldi değişim talep ettim onaylandı fakat gelen 2. kargo da alt üst farklı ilkinde 42 40 gelmişkwn ikincide 42 38 olarak geldi parçaları evde kendim değiştirsem sonuca daha kolay ulaşırım gibi duruyor hediye almıştım doğum günü geçeli 10 gün oldu hala hediyeyi vericem bu ürüne kadar hiç problem yaşamamıştım vee son olarak siparişimin ücret iadesi yapıldı sırf kargosu bedava olsun diye alışveriş yaptığım bi üründü kckfkdkfk cidden hayal kırıklığına uğradım bu kez,Ill-fitting,Partially
32,e30,Yırtık geldi iade,Faulty,Yes
33,e31,Urunu denedigimde lekeyi farkettim.. teendyolmiladan bu özensizligi beklemezdim.,Faulty,Yes
34,e32,Elbisede 36 beden etikette 38 diyor daha düzgün kontrol sağlamanızı beklerdim,Ill-fitting,Yes
35,e33,Ürün bu şekilde geldi cöp olan birşeyi müşterinize göndermeyin paketlemeyi kim yapıyorsa dikkatli yapsın böyle satıcı olamaz,Faulty,Yes
36,e34,Beğenmedim çok ince,Inferior,No
37,e35,model aynı fakat tokasız geldi . neden böyle hatalar yapılırki,Incomplete,Partially
38,e36,Püskül yerinin altında kaldığı için yıkadıktan sonra yırtık olduğunu gördüm bu üç oldu. milla benim için bitti. ,Faulty,Yes
39,e37,Sürekli etiket ve beden yanlış geliyor siyahını istedim onda da aynı şey oldu 36 istiyorum ürün 38 beden etiket 36 yazıyor,Ill-fitting,No
40,e38,üstte durusunu bilmiyorum çünkü deneyemedim fermuari kırık ve yarıda sıkışmış şekilde geldi paketi açarken fermuarin parçası içinden düştü. ya kargoda kırıldı yada öylece paketleyip göndermişler bilemiyorum. direk iade,Faulty,Partially
41,e39,Cekete asla benzemiyor gömlek gibi incecik ve formu yok,Inferior,Partially
42,e40,cok begenmeme ragmen sökük geldi,Faulty,Partially
43,e41,"Fondoten lekesi vardı, anlamıyorum bu iadeler alınırken kontrolden geçmiyor mu?",Refurbished,Partially
44,e42,yorumlarda fazla abartılmış bir ürün lekeli geldi ve kalitesini beğenmedim ,Faulty,Yes
45,e42,36beden almama rağmen üstü çok salaş,Ill-fitting,No
46,e43,Hatalı dikiş ve leke mevcut,Faulty,Yes
47,e44,Rengi beyaz değil sanki buz maviymiş ama rengi atmış gibi çirkin bir renk ,Discolored,Partially
48,e44,kumaşı çok sert alt kesimi de hoş durmuyor giyince iade,Inferior,No
49,e45,Etek boyu eşit değil,Faulty,Yes
50,e46,Ürün defolu geldi pile kısımlarında ip çekmiş gibi izler vardı,Faulty,Partially
51,e47,Eksik ürün gönderildi,Incomplete,No
52,e48,resmen giyilmiş kullanılmış gönderildi.Üzerinde lekeler ve parfüm kokusu vardı.stoktan almıştım.Geri iade ettim,Refurbished,Yes
53,e49,Lekeli geldi,Faulty,Yes
54,e50,Dügmesi kopmuş geldi,Faulty,Partially
55,e51,Aldığım ürün komple yanlış geldi resmen dalga geçer gibi sürekli aynı sorunu yaşıyorum gerçekten sıkıldım artık,Incorrect,Yes
56,e52,Hiç rahat bir ayakkabı değil bir kere giydim ve çöp oldu,Inferior,No
57,e53,ürün güzeldi ama kusurlu geldi iade.,Faulty,Yes
58,e54,giyilmis deformeli ayakkabı gönderdiler şaka gibisiniz ,Refurbished,Yes
59,e55,Taşı düşmüş sağ tarafın çok kaliteli değil,Faulty,Partially
60,e56,Ürünün kullanılmış ve yıpranmış olduğu net bir şekilde görülüyor. Ayakkabının kemerine ekstra delik açılmış milladan asla beklemezdim. Resmen kandırmak bu verdiğimiz paranın karşılığı bu olmamalı.,Refurbished,Yes
61,e57,Ürün kusurlu gönderilmiş. Şaka gibi ya bide olmadık kargoya gidip iade edeceğim. Ödediğim kargo parası da cabası,Faulty,Yes
62,e58,Ürünün kenarındaki ayakkabı bağını geçirmek için iğne yok ,Incomplete,No
63,e59,Kusurlu ürün gönderildi,Faulty,Yes
64,e60,Çok özensiz yapılmış öününde çizikler var uhu izi gibi yapışkanların izi var,Faulty,Partially
65,e61,Kesınlıkle bu fıyatı haketmıyor,Disappointing,No
66,e62,Aksesuarı kopuk göndermişler iade ettim,Faulty,Yes
67,e63,Hayatım da bu parayla boyle dandik bir şey almadım bayram için aldım iyade de edemiyorum hep yapıştırma yapılmış açılmalar var iki giymede tabanı elimde kalacak,Faulty,Yes
68,e64,"şaka gibi topukları eğri gelmis ben de o kadar geç fark ettim ki elimde kaldılar mecburen, kendi körlüğüme daha çok üzüldüm, fark etmem için dısarı çıkarken giymem gerekiyormus meğer.",Faulty,No
69,e65,kopuk ve tabanı yırtık geldi,Faulty,Yes
70,e66,İki tane sol ayakkabi gondermişler şaka yapar gibi şok oldum bide davette giyerim diye almıştım gercekten rezillik yani,Incorrect,Yes
71,e67,800 kusur fiyat aliyorsunuz gonderdiginiz ayakkabiya bakin ki taslarinin goruntusu kuflenmis gibi cirkin bi rengi var iade,Faulty,No
72,e68,36 numara istedim 40 numara geldi,Ill-fitting,No
73,e69,İki tane sağ ayakkabı geldi,Incorrect,Partially
74,e70,Aşırı sert ve rahatsız iade,Inferior,No
75,e71,Çok kötü hiç rahat değil,Inferior,No
76,e72,mor sipariş ettim pembe göndermişler.,Discolored,Yes
77,e73,Yanlis gonderildi !!! Yarın kullanmam gerekiyordu barkodu kutuya pembe basmislar kutuya krem koymuslar gonderirken kontrol etseydinizzaten gec geldi bir hafta beklemezdim,Incorrect,Yes
78,e74,Ayakkabı defolu gibi,Faulty,Partially
79,e75,40 numara siparis ettim 36 geldi,Ill-fitting,Yes
80,e76,Ürün kusurlu gönderilmistir,Faulty,Yes
81,e77,Ürünün iç kısmında zımba vardı ne alakaysa ayağımı kanattı giyer giymez dikkat etmemişsiniz ürünün zımbasını çıkarcam derken zarar verdim ücret iadesi istiyorum,Faulty,Yes
82,e78,Görselde ki ayakkabı gelmedi,Incorrect,Yes
83,e79,Ya şimdi merak ediyorum herkesin aldığı üründe bağcıklari dışardan benimki niye içerden kardeşim tabiki iade olucak,Faulty,Partially
84,e80,Ürün defolu geldi,Faulty,Yes
85,e81,Ürün güzel ama maalesef sol tekleri olarak gönderilmiş iki ayakkabı da ….. Mecbur iade,Incorrect,Yes
86,e82,Ürün güzel fakat önü açılmış geldi iade edeceğim,Faulty,Partially
87,e83,Aşırı rahatsız. Terliğin önü taş gibi parmaklarına vuruyor insanın. Asla ergonomik değil. ,Inferior,No
88,e83,Biri büyük biri küçük bir de. İade ettim.,Ill-fitting,Yes
89,e84,Ayağımı çok sıktı gerçekten incecik bir ayağınız olması gerekiyor,Ill-fitting,Partially
90,e85,Fiyatına değmez bence almayın ben iade edicem,Disappointing,No
91,e86,Yırtık geldiğinden dolayı iade etmek istiyorum,Faulty,Partially
92,e87,yapıştırma izleri çok belli taban yamuk iade,Faulty,Partially
93,e88,yakkabinin birinin paleti eksik geldi. eksik parcanin tedarik edilmesini istedim ama muhtemelen iade etmemi soyleyecekler. 1 hafta paramin yatmasini bekleyecegim. bi isiniz de dogru olsun allah askina bu ulkede isini adam akilli yapan hicbir isletme yok. bir daha buradan alisveris yapmayacagim.,Incomplete,Yes
94,e89,Beğenmedim,Disappointing,No
95,e90,Ürünün bilek kısmındaki bağcığını neden göndermediğinizi anlamıyorum gerçekten her ikisinde de aynı şekilde yok. Numara tam kalıp ayakta güzel duruyor fakat hatalı geldiği için iade,Incomplete,Partially
96,e91,Kusurlu geldi,Faulty,Yes
97,e92,aşırı kalitesiz bir terlik çok kötü bekledimden daha kötü,Disappointing,Yes
98,e93,Defolu geldi,Faulty,Yes
99,e94,Aşırı ince. Asla düzgün durmuyor. Kırış kırış,Inferior,Partially
100,e95,36 giyorum 38 sipariş verdim çok büyük oldu omuzlar kocaman sevmedin ben,Ill-fitting,No
101,e96,Bir kez de şu Trendyol sorunsuz bir ceket getirsin. Her alışımda bu sefer bir şey yoktur diyorum. İadelerden ben yoruldum. Bu cebi böyle yollamaya utanmadınız mı gerçekten? Vatkasını dikmemişsiniz bile ben söküp dikiş attım sırf iade etmemek için ama bu cebi görseydim asla yapmazdım. Asla kaliteli değilsiniz 1-2 ay bir şey almayacağım (ahhehehe mecbur illaki alırım biliyorum ahheheheeh),Faulty,Yes
102,e97,Asla bu parayı haketmiyor asla paketi açar açmaz iade kodu oluşturdum o kadar sönük bi kumaşı duruşu var ki ne biçim blazer ceket bu,Disappointing,No
103,e98,34 beden aşırı bol,Ill-fitting,Yes
104,e99,Siyahı çok çok kötü. Çok parlak. Çok ince. Hiç memnun kalmadım.,Inferior,Partially
105,e100,Defolu ürün gönderildi. 172-63 kg 36 beden istediğim bollukta oldu.,Faulty,Partially
106,e101,Cook bol çok 3 beden küçük alın,Ill-fitting,No
